"Teams","Game","Points","Conference","MaxPoints","MinPoints","MaxFinal","PointsLessGames","MaxPointsLessGames","MinPointsLessGames","MaxFinalLessGames"
"One Knoxville",20,22,"East",22,22,58,2,2,2,38
"Richmond Kickers",20,NA,"East",28,25,64,NA,8,5,44
"Tormenta",20,NA,"East",30,21,66,NA,10,1,46
"Union Omaha",20,NA,"East",31,25,67,NA,11,5,47
"Central Valley Fuego",21,NA,"East",28,16,61,NA,7,-5,40
"Charlotte Independence",21,NA,"East",33,30,66,NA,12,9,45
"Chattanooga Red Wolves",21,NA,"East",25,16,58,NA,4,-5,37
"Forward Madison",21,NA,"East",41,29,74,NA,20,8,53
"Greenville Triumph",21,NA,"East",37,28,70,NA,16,7,49
"Lexington",21,NA,"East",26,17,59,NA,5,-4,38
"North Carolina",21,NA,"East",43,28,76,NA,22,7,55
"Northern Colorado",21,NA,"East",50,35,83,NA,29,14,62
"One Knoxville",21,NA,"East",25,22,58,NA,4,1,37
"Richmond Kickers",21,NA,"East",31,25,64,NA,10,4,43
"Tormenta",21,NA,"East",33,21,66,NA,12,0,45
"Union Omaha",21,NA,"East",34,25,67,NA,13,4,46
"Central Valley Fuego",22,NA,"East",31,16,61,NA,9,-6,39
"Charlotte Independence",22,NA,"East",36,30,66,NA,14,8,44
"Chattanooga Red Wolves",22,NA,"East",28,16,58,NA,6,-6,36
"Forward Madison",22,NA,"East",44,29,74,NA,22,7,52
"Greenville Triumph",22,NA,"East",40,28,70,NA,18,6,48
"Lexington",22,NA,"East",29,17,59,NA,7,-5,37
"North Carolina",22,NA,"East",46,28,76,NA,24,6,54
"Northern Colorado",22,NA,"East",53,35,83,NA,31,13,61
"One Knoxville",22,NA,"East",28,22,58,NA,6,0,36
"Richmond Kickers",22,NA,"East",34,25,64,NA,12,3,42
"Tormenta",22,NA,"East",36,21,66,NA,14,-1,44
"Union Omaha",22,NA,"East",37,25,67,NA,15,3,45
"Central Valley Fuego",23,NA,"East",34,16,61,NA,11,-7,38
"Charlotte Independence",23,NA,"East",39,30,66,NA,16,7,43
"Chattanooga Red Wolves",23,NA,"East",31,16,58,NA,8,-7,35
"Forward Madison",23,NA,"East",47,29,74,NA,24,6,51
"Greenville Triumph",23,NA,"East",43,28,70,NA,20,5,47
"Lexington",23,NA,"East",32,17,59,NA,9,-6,36
"North Carolina",23,NA,"East",49,28,76,NA,26,5,53
"Northern Colorado",23,NA,"East",56,35,83,NA,33,12,60
"One Knoxville",23,NA,"East",31,22,58,NA,8,-1,35
"Richmond Kickers",23,NA,"East",37,25,64,NA,14,2,41
"Tormenta",23,NA,"East",39,21,66,NA,16,-2,43
"Union Omaha",23,NA,"East",40,25,67,NA,17,2,44
"Central Valley Fuego",24,NA,"East",37,16,61,NA,13,-8,37
"Charlotte Independence",24,NA,"East",42,30,66,NA,18,6,42
"Chattanooga Red Wolves",24,NA,"East",34,16,58,NA,10,-8,34
"Forward Madison",24,NA,"East",50,29,74,NA,26,5,50
"Greenville Triumph",24,NA,"East",46,28,70,NA,22,4,46
"Lexington",24,NA,"East",35,17,59,NA,11,-7,35
"North Carolina",24,NA,"East",52,28,76,NA,28,4,52
"Northern Colorado",24,NA,"East",59,35,83,NA,35,11,59
"One Knoxville",24,NA,"East",34,22,58,NA,10,-2,34
"Richmond Kickers",24,NA,"East",40,25,64,NA,16,1,40
"Tormenta",24,NA,"East",42,21,66,NA,18,-3,42
