"Teams","Game","Points","Conference","MaxPoints","MinPoints","MaxFinal","PointsLessGames","MaxPointsLessGames","MinPointsLessGames","MaxFinalLessGames"
"Tormenta",32,NA,"East",66,21,66,NA,34,-11,34
"Union Omaha",32,NA,"East",67,25,67,NA,35,-7,35
"Thresholds",0,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",0,NA,"East",NA,-97,97,NA,NA,-97,97
"Thresholds",1,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",1,NA,"East",NA,-93,95,NA,NA,-94,94
"Thresholds",2,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",2,NA,"East",NA,-88,94,NA,NA,-90,92
"Thresholds",3,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",3,NA,"East",NA,-84,92,NA,NA,-87,89
"Thresholds",4,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",4,NA,"East",NA,-80,90,NA,NA,-84,86
"Thresholds",5,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",5,NA,"East",NA,-75,89,NA,NA,-80,84
"Thresholds",6,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",6,NA,"East",NA,-70,88,NA,NA,-76,82
"Thresholds",7,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",7,NA,"East",NA,-66,85,NA,NA,-73,78
"Thresholds",8,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",8,NA,"East",NA,-62,84,NA,NA,-70,76
"Thresholds",9,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",9,NA,"East",NA,-57,82,NA,NA,-66,73
"Thresholds",10,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",10,NA,"East",NA,-54,80,NA,NA,-64,70
"Thresholds",11,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",11,NA,"East",NA,-49,78,NA,NA,-60,67
"Thresholds",12,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",12,NA,"East",NA,-45,76,NA,NA,-57,64
"Thresholds",13,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",13,NA,"East",NA,-39,74,NA,NA,-52,61
"Thresholds",14,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",14,NA,"East",NA,-35,74,NA,NA,-49,60
"Thresholds",15,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",15,NA,"East",NA,-30,73,NA,NA,-45,58
"Thresholds",16,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",16,NA,"East",NA,-26,71,NA,NA,-42,55
"Thresholds",17,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",17,NA,"East",NA,-21,70,NA,NA,-38,53
"Thresholds",18,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",18,NA,"East",NA,-18,68,NA,NA,-36,50
"Thresholds",19,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",19,NA,"East",NA,-15,67,NA,NA,-34,48
"Thresholds",20,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",20,NA,"East",NA,-12,67,NA,NA,-32,47
"Thresholds",21,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",21,NA,"East",NA,-9,67,NA,NA,-30,46
"Thresholds",22,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",22,NA,"East",NA,-6,67,NA,NA,-28,45
"Thresholds",23,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",23,NA,"East",NA,-3,67,NA,NA,-26,44
"Thresholds",24,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",24,NA,"East",NA,0,67,NA,NA,-24,43
"Thresholds",25,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",25,NA,"East",NA,3,67,NA,NA,-22,42
"Thresholds",26,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",26,NA,"East",NA,6,67,NA,NA,-20,41
"Thresholds",27,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",27,NA,"East",NA,9,67,NA,NA,-18,40
"Thresholds",28,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",28,NA,"East",NA,12,67,NA,NA,-16,39
"Thresholds",29,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",29,NA,"East",NA,15,67,NA,NA,-14,38
"Thresholds",30,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",30,NA,"East",NA,18,67,NA,NA,-12,37
"Thresholds",31,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",31,NA,"East",NA,21,67,NA,NA,-10,36
"Thresholds",32,NA,"West",NA,NA,NA,NA,NA,NA,NA
"Thresholds",32,NA,"East",NA,24,67,NA,NA,-8,35
